,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
9768,Low,UK,M,22,E,DT,N,35,,3,,PB,,,20.0,Associates (2 years),Yes,YesValid,37.0,three
9769,Low,Canada,M,10,E,DT,N,10,,5,,PB,,,7.0,Associates (2 years),Yes,YesExpired,40.0,zero
9770,Very Low,USA,M,5,E,AN,Y,2,,0,,PB,,,0.0,Bachelors (4 years),Yes,YesValid,45.0,zero
9771,Mid,USA,M,15,E,DA,N,18,,3,,PB,,,6.0,Bachelors (4 years),No,N,55.0,four
9772,High,USA,M,10,E,DBA,Y,2,,6,,PB,,,80.0,Bachelors (4 years),Yes,N,50.0,five
9773,Mid,USA,M,19,E,DBA,N,12,,0,,PB,,,15.0,Masters,Yes,YesExpired,40.0,one
9774,Low,USA,O,1,E,AN,Y,1,,0,,SG,,,4.0,Bachelors (4 years),Yes,N,40.0,zero
9775,Very Low,Canada,M,5,E,DA,N,5,,1,,PB,,,5.0,Associates (2 years),Yes,N,35.0,five
9776,Low,USA,M,5,E,,N,5,,0,,PB,,,8.0,Masters,Yes,N,41.0,zero
9777,Mid,USA,M,5,E,DA,N,5,,0,,PB,,,2.0,Bachelors (4 years),No,N,45.0,zero
9778,Very Low,Poland,M,5,E,DT,N,1,,0,,PB,,,10.0,Masters,Yes,YesValid,40.0,one
9779,High,USA,M,12,E,DBA,Y,1,,0,,PB,,,20.0,Bachelors (4 years),Yes,N,42.0,zero
9780,Very Low,South-Africa,M,7,EC,DBA,N,5,,1,,PB,,,60.0,Bachelors (4 years),No,YesValid,40.0,one
9781,Mid,USA,M,13,E,DBA,N,4,,3,,PB,,,20.0,Masters,No,N,40.0,five
9782,Very Low,USA,M,1,E,DT,N,1,,0,,PB,,,15.0,Bachelors (4 years),No,N,40.0,zero
9783,Low,USA,M,2,E,DBA,N,0,,1,,PB,,,3.0,Bachelors (4 years),Yes,N,42.0,zero
9784,Very High,USA,M,13,E,M,Y,10,,2,,PB,,,5.0,Masters,No,N,60.0,zero
9785,Very Low,UK,M,15,E,M,N,3,,0,,PB,,,2.0,None (no degree completed),,YesExpired,38.0,zero
9786,High,USA,M,25,E,DBA,N,3,,2,,PB,,,150.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9787,Very Low,Lithuania,M,12,E,DT,N,2,,2,,PB,,,3.0,Bachelors (4 years),Yes,YesExpired,35.0,one
9788,Very Low,USA,M,1,E,AN,N,1,,1,,PB,,,4.0,Bachelors (4 years),Yes,N,45.0,zero
9789,Very High,USA,M,25,E,A,Y,2,,0,,PB,,,10.0,Bachelors (4 years),Yes,YesValid,42.0,zero
9790,Low,USA,M,1,E,DBA,N,1,,1,,SG,,,10.0,Masters,No,N,60.0,five
9791,Low,Ireland,M,10,EC,DBA,N,2,,2,,PB,,,50.0,Bachelors (4 years),Yes,YesValid,38.0,zero
9792,Low,USA,M,8,E,AN,Y,8,,0,,LG,,,27.0,Bachelors (4 years),Yes,N,38.0,zero
9793,Low,USA,M,5,E,DA,N,3,,1,,SG,,,3.0,Masters,Yes,N,40.0,one
9794,Low,UK,M,15,E,M,Y,6,,6,,LG,,,2.0,Masters,Yes,YesExpired,39.0,five
9795,Mid,USA,M,8,E,DBA,N,2,,1,,PB,,,120.0,Bachelors (4 years),No,YesValid,40.0,one
9796,Low,USA,M,8,E,,N,8,,0,,PB,,,3.0,Associates (2 years),Yes,N,40.0,zero
9797,High,USA,M,28,E,D,N,20,,0,,PB,,,1.0,Bachelors (4 years),Yes,N,40.0,zero
9798,Low,USA,M,3,E,DA,N,3,,1,,PB,,,1.0,Bachelors (4 years),Yes,N,40.0,zero
9799,Low,USA,M,6,E,DA,N,8,,3,,PB,,,20.0,Bachelors (4 years),Yes,N,40.0,zero
9800,Mid,USA,M,6,E,DBA,N,4,,2,,PB,,,100.0,Bachelors (4 years),Yes,N,36.0,zero
9801,Very Low,UK,M,8,E,D,N,2,,1,,PB,,,10.0,Bachelors (4 years),No,YesValid,40.0,zero
9802,Very Low,Netherlands,M,5,EC,,N,6,,5,,PB,,,50.0,Masters,No,YesValid,40.0,zero
9803,Mid,USA,M,13,E,DBA,N,15,,1,,FG,,,3.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9804,Low,Canada,M,16,E,DBA,N,15,,0,,PB,,,15.0,Associates (2 years),Yes,N,40.0,zero
9805,Very Low,USA,M,2,E,AN,N,2,,2,,FG,,,50.0,Bachelors (4 years),Yes,YesValid,40.0,one
9806,Mid,USA,M,10,E,DBA,N,1,,1,,LG,,,45.0,Masters,Yes,YesExpired,40.0,zero
9807,Very High,Switzerland,,10,E,D,N,4,,0,,PB,,,3.0,Masters,No,N,55.0,zero
9808,Very High,USA,M,20,E,DBA,Y,10,,0,,PB,,,20.0,None (no degree completed),,YesExpired,55.0,zero
9809,Very Low,Slovenia,M,2,I,DBA,N,2,,1,,PB,,,28.0,Bachelors (4 years),No,YesExpired,40.0,two
9810,Very High,USA,M,15,E,DBA,N,20,,1,,PB,,,50.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9811,Mid,USA,M,10,E,AN,N,9,,0,,PB,,,15.0,Bachelors (4 years),No,N,50.0,zero
9812,Mid,USA,M,2,E,AN,N,2,,3,,PB,,,2.0,Bachelors (4 years),No,N,36.0,one
9813,High,USA,M,15,E,DBA,N,15,,5,,PB,,,25.0,None (no degree completed),,N,42.0,one
9814,Low,Switzerland,M,13,E,DBA,N,2,,4,,PB,,,1500.0,Bachelors (4 years),Yes,YesValid,43.0,zero
9815,Very Low,Canada,M,8,E,DBA,N,3,,1,,FG,,,6.0,Associates (2 years),Yes,N,40.0,zero
9816,Very High,USA,M,17,E,DBA,N,17,,3,,PB,,,125.0,Masters,Yes,N,55.0,five
9817,Mid,USA,M,15,E,M,Y,23,,1,,PB,,,10.0,Bachelors (4 years),Yes,N,40.0,one
9818,Very High,USA,M,16,E,DBA,N,16,,4,,PB,,,200.0,None (no degree completed),,N,40.0,zero
9819,Low,USA,M,3,E,DBA,N,2,,0,,PB,,,6.0,None (no degree completed),,N,40.0,zero
9820,Low,USA,T,4,E,AN,N,4,,2,,PB,,,6.0,Bachelors (4 years),No,N,42.0,zero
9821,High,USA,M,5,E,E,N,5,,6,,PB,,,15.0,None (no degree completed),,N,40.0,zero
9822,Mid,USA,M,20,E,DBA,N,9,,1,,PB,,,25.0,Masters,Yes,N,45.0,four
9823,High,USA,M,16,E,DBA,N,10,,0,,PB,,,325.0,Masters,Yes,YesExpired,50.0,four
9824,Very Low,India,M,6,E,DBA,Y,4,,0,,PB,,,4.0,Bachelors (4 years),No,YesExpired,60.0,zero
9825,Mid,USA,M,5,E,DBA,N,3,,0,,PB,,,25.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9826,Very High,USA,O,10,E,M,Y,2,,0,,PB,,,50.0,Bachelors (4 years),No,YesExpired,50.0,zero
9827,Very Low,UK,M,12,E,DBA,N,9,,0,,LG,,,205.0,Bachelors (4 years),No,YesExpired,37.0,zero
9828,Very High,USA,M,10,E,DBA,N,1,,5,,PB,,,500.0,Bachelors (4 years),No,N,50.0,zero
9829,Very Low,USA,M,4,E,D,N,1,,4,,PB,,,3.0,Bachelors (4 years),No,N,40.0,zero
9830,Mid,USA,M,3,E,DBA,N,3,,6,,PB,,,1000.0,Bachelors (4 years),No,N,45.0,five
9831,High,USA,M,28,E,DA,Y,16,,0,,PB,,,10.0,Masters,No,N,50.0,one
9832,Mid,USA,M,2,E,DBA,N,2,,1,,PB,,,65.0,Bachelors (4 years),Yes,YesExpired,50.0,one
9833,Very Low,Romania,M,12,E,DBA,Y,12,,2,,PB,,,50.0,None (no degree completed),,YesValid,50.0,zero
9834,Low,USA,M,3,E,DBA,N,3,,6,,PB,,,150.0,Bachelors (4 years),Yes,YesExpired,45.0,two
9835,Mid,USA,M,10,E,DBA,Y,5,,1,,SG,,,25.0,Associates (2 years),Yes,YesExpired,40.0,zero
9836,Mid,USA,M,7,E,M,Y,10,,0,,PB,,,4.0,Bachelors (4 years),No,YesExpired,55.0,one
9837,High,USA,M,18,E,DBA,Y,8,,4,,PB,,,52.0,Bachelors (4 years),Yes,YesExpired,60.0,five
9838,High,USA,M,15,E,DBA,N,2,,6,,PB,,,1200.0,Associates (2 years),Yes,YesValid,40.0,five
9839,Low,Denmark,,5,EC,,N,5,,6,,PB,,,10.0,Bachelors (4 years),Yes,N,37.0,zero
9840,Very High,USA,RDS,1,E,A,Y,13,,0,,PB,,,5000.0,Bachelors (4 years),Yes,YesValid,35.0,one
9841,Very High,USA,M,12,E,M,Y,12,,0,,PB,,,15.0,Bachelors (4 years),Yes,N,50.0,zero
9842,Very Low,USA,M,6,E,DBA,N,6,,0,,PB,,,8.0,None (no degree completed),,N,40.0,zero
9843,Mid,USA,M,8,E,DBA,N,7,,1,,SG,,,15.0,Bachelors (4 years),Yes,N,50.0,zero
9844,Low,USA,M,1,E,E,N,1,,6,,PB,,,4.0,Masters,Yes,YesExpired,43.0,one
9845,Very High,USA,MDB,1,E,DA,N,5,,0,,PB,,,36.0,Masters,Yes,N,40.0,zero
9846,Mid,USA,M,7,E,DBA,N,7,,2,,PB,,,500.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9847,Mid,USA,M,10,E,D,Y,15,,5,,PB,,,5.0,Bachelors (4 years),Yes,N,45.0,three
9848,Very High,USA,M,1,E,DBA,N,10,,1,,PB,,,20.0,Bachelors (4 years),Yes,N,40.0,one
9849,Mid,USA,M,6,E,DBA,N,2,,0,,PB,,,22.0,Bachelors (4 years),Yes,N,42.0,zero
9850,Mid,USA,M,6,E,DBA,N,6,,0,,PB,,,6.0,Bachelors (4 years),Yes,N,45.0,zero
9851,Very High,USA,M,18,E,DBA,N,8,,5,,PB,,,500.0,Bachelors (4 years),No,N,45.0,one
9852,Mid,USA,M,2,E,DBA,N,1,,3,,PB,,,300.0,Bachelors (4 years),Yes,N,40.0,zero
9853,High,USA,M,30,E,DBA,N,12,,0,,SG,,,30.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9854,Mid,USA,M,8,E,D,Y,2,,0,,PB,,,3.0,Bachelors (4 years),Yes,YesValid,42.0,zero
9855,Low,USA,M,14,E,D,N,4,,1,,PB,,,15.0,Bachelors (4 years),Yes,N,45.0,zero
9856,High,USA,M,6,E,DBA,N,5,,6,,SG,,,240.0,Bachelors (4 years),Yes,N,40.0,zero
9857,Very High,USA,M,17,E,DBA,N,17,,4,,PB,,,80.0,None (no degree completed),,YesExpired,45.0,two
9858,Low,USA,M,10,E,M,N,0,,0,,PB,,,15.0,Associates (2 years),,N,55.0,five
9859,Mid,USA,M,10,E,DBA,Y,3,,1,,PB,,,20.0,Masters,Yes,YesValid,38.0,five
9860,Very Low,Peru,SQLI,10,E,DBA,N,6,,3,,PB,,,100.0,Associates (2 years),Yes,YesValid,43.0,zero
9861,Mid,USA,M,4,E,AN,N,5,,2,,PB,,,20.0,Bachelors (4 years),Yes,N,40.0,zero
9862,Very Low,UK,M,15,E,DBA,N,1,,4,,PB,,,400.0,Doctorate/PhD,No,YesValid,40.0,one
9863,High,USA,M,18,E,DBA,N,0,,0,,PB,,,90.0,Bachelors (4 years),No,N,40.0,zero
9864,High,USA,M,15,E,DBA,N,15,,0,,PB,,,90.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9865,Low,Australia,M,15,E,DBA,Y,6,,1,,SG,,,50.0,Bachelors (4 years),Yes,N,40.0,zero
9866,Very High,USA,M,16,E,M,Y,5,,0,,PB,,,8.0,Masters,No,N,45.0,zero
9867,Low,Finland,O,13,E,D,N,8,,1,,PB,,,3.0,Bachelors (4 years),Yes,N,45.0,zero
9868,Very Low,Italy,M,4,EC,DBA,N,4,,2,,PB,,,3000.0,Bachelors (4 years),Yes,N,40.0,zero
9869,High,USA,M,17,I,,Y,17,,1,,PB,,,50.0,Bachelors (4 years),No,YesExpired,50.0,zero
9870,High,USA,O,19,E,DBA,N,12,,5,,SG,,,150.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9871,Very Low,Mexico,M,2,EC,DBA,N,2,,4,,PB,,,300.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9872,High,USA,M,11,E,DBA,N,22,,1,,PB,,,200.0,None (no degree completed),,N,45.0,two
9873,Mid,USA,M,10,E,DBA,N,10,,1,,SG,,,210.0,Bachelors (4 years),Yes,N,42.0,zero
9874,Very High,USA,M,10,E,M,Y,5,,0,,SG,,,15.0,Doctorate/PhD,Yes,YesExpired,40.0,zero
9875,Low,USA,M,15,E,AN,N,1,,1,,PB,,,20.0,Bachelors (4 years),Yes,YesExpired,40.0,one
9876,Mid,USA,M,6,E,DBA,N,4,,1,,PB,,,10.0,Bachelors (4 years),Yes,N,35.0,zero
9877,Very Low,India,M,6,E,E,Y,4,,1,,PB,,,5.0,Bachelors (4 years),No,YesExpired,70.0,zero
9878,Low,Netherlands,M,8,EC,D,Y,10,,6,,PB,,,30.0,Masters,Yes,YesValid,40.0,zero
9879,Mid,USA,O,10,E,DBA,N,20,,4,,PB,,,200.0,Bachelors (4 years),Yes,N,45.0,zero
9880,Very High,USA,M,12,E,M,Y,10,,0,,PB,,,5.0,Bachelors (4 years),Yes,YesExpired,60.0,one
9881,Very High,Australia,T,15,I,A,Y,3,,0,,SG,,,5.0,Bachelors (4 years),,YesValid,40.0,zero
9882,Very High,USA,M,20,E,DA,N,8,,0,,PB,,,4.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9883,Low,UK,M,12,E,DBA,N,2,,0,,PB,,,200.0,Bachelors (4 years),No,N,39.0,zero
9884,Very High,USA,M,20,E,M,Y,10,,0,,PB,,,10.0,Bachelors (4 years),Yes,YesExpired,40.0,five
9885,Low,USA,M,2,E,D,N,2,,2,,PB,,,4.0,Masters,Yes,N,45.0,zero
9886,Very Low,UK,M,16,E,DBA,Y,4,,2,,FG,,,150.0,Bachelors (4 years),No,N,42.0,zero
9887,Low,USA,M,2,E,DA,N,1,,3,,PB,,,10.0,Bachelors (4 years),No,N,42.0,zero
9888,Very Low,UK,M,6,E,DBA,N,6,,2,,PB,,,200.0,Associates (2 years),Yes,N,40.0,zero
9889,Very Low,Ireland,T,1,EC,AN,Y,1,,6,,PB,,,5.0,Bachelors (4 years),Yes,N,40.0,zero
9890,Low,Australia,M,2,E,AN,N,1,,1,,PB,,,2.0,Masters,No,YesValid,40.0,two
9891,Very Low,USA,M,10,E,DS,Y,12,,0,,SG,,,3.0,Masters,No,N,40.0,zero
9892,Low,Australia,,1,E,M,Y,3,,0,,PB,,,6.0,Bachelors (4 years),No,YesValid,40.0,zero
9893,Very High,USA,O,18,E,M,N,1,,0,,PB,,,1500.0,Bachelors (4 years),No,YesValid,45.0,five
9894,Very High,USA,M,8,E,M,Y,3,,0,,PB,,,8.0,Masters,Yes,N,40.0,zero
9895,Very High,USA,M,18,E,A,Y,4,,0,,PB,,,6.0,Associates (2 years),,YesExpired,55.0,zero
9896,High,USA,M,20,E,M,Y,4,,0,,PB,,,12.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
9897,High,Canada,M,14,E,DBA,N,21,,1,,SG,,,36.0,Bachelors (4 years),Yes,N,40.0,zero
9898,Low,USA,M,3,E,AN,N,3,,5,,PB,,,10000.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9899,Low,USA,M,4,E,,N,5,,3,,PB,,,50.0,Bachelors (4 years),No,YesValid,40.0,five
9900,High,USA,M,13,E,DBA,N,13,,0,,PB,,,100.0,Bachelors (4 years),Yes,N,50.0,five
9901,Mid,USA,M,5,E,DBA,N,5,,2,,PB,,,300.0,Masters,Yes,N,50.0,two
9902,High,USA,M,15,E,DBA,N,6,,5,,PB,,,700.0,Bachelors (4 years),Yes,YesExpired,45.0,five
9903,Very High,USA,M,15,E,DBA,N,8,,0,,FG,,,0.0,Bachelors (4 years),No,N,40.0,zero
9904,High,USA,M,12,E,AN,N,14,,1,,PB,,,4.0,Bachelors (4 years),No,YesValid,50.0,one
9905,Very Low,USA,M,14,E,DT,N,14,,3,,PB,,,4.0,None (no degree completed),,N,40.0,zero
9906,Mid,USA,M,6,E,DBA,N,3,,1,,PB,,,140.0,Bachelors (4 years),No,YesValid,40.0,zero
9907,Mid,USA,M,3,E,DBA,Y,1,,1,,FG,,,30.0,Associates (2 years),Yes,YesValid,44.0,zero
9908,Very Low,UK,M,10,E,DT,Y,8,,1,,PB,,,7.0,None (no degree completed),,N,40.0,zero
9909,High,USA,M,19,E,DBA,N,20,,1,,PB,,,20.0,Bachelors (4 years),No,YesExpired,43.0,zero
9910,Mid,USA,M,10,E,DBA,N,6,,0,,PB,,,20.0,Associates (2 years),Yes,N,48.0,zero
9911,Very High,USA,,7,E,E,N,4,,6,,PB,,,5.0,Bachelors (4 years),No,N,50.0,zero
9912,Low,USA,M,4,E,DBA,N,1,,1,,PB,,,45.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9913,Very Low,USA,T,1,E,D,N,1,,3,,PB,,,2.0,Bachelors (4 years),No,YesValid,45.0,one
9914,Very High,USA,M,15,I,DBA,Y,6,,3,,PB,,,200.0,None (no degree completed),,YesExpired,50.0,five
9915,Very High,USA,M,18,E,DBA,N,11,,4,,PB,,,350.0,None (no degree completed),,N,55.0,two
9916,Very High,USA,M,5,E,D,Y,5,,1,,PB,,,2.0,Bachelors (4 years),Yes,N,40.0,zero
9917,Low,USA,M,1,E,AN,N,1,,2,,PB,,,5.0,Masters,No,N,36.0,zero
9918,Very Low,Brazil,M,6,E,,Y,1,,4,,PB,,,10.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9919,Very High,USA,M,15,E,A,N,20,,0,,PB,,,300.0,None (no degree completed),,YesExpired,50.0,five
9920,Mid,USA,P,0,E,AN,N,0,,6,,PB,,,10.0,Bachelors (4 years),No,N,45.0,zero
9921,High,USA,M,10,E,D,N,12,,0,,PB,,,11.0,Bachelors (4 years),No,YesValid,45.0,zero
9922,Very High,USA,M,13,E,DBA,N,13,,4,,PB,,,40.0,Bachelors (4 years),Yes,YesExpired,45.0,two
9923,Very Low,Singapore,M,10,E,DT,N,4,,0,,PB,,,3.0,None (no degree completed),No,YesExpired,40.0,zero
9924,High,USA,M,8,E,DBA,Y,8,,1,,PB,,,110.0,Bachelors (4 years),Yes,YesValid,40.0,five
9925,High,USA,M,11,E,M,Y,2,,0,,PB,,,12.0,Associates (2 years),Yes,YesValid,45.0,zero
9926,Very High,USA,M,15,E,DBA,N,1,,3,,PB,,,150.0,Bachelors (4 years),Yes,N,45.0,zero
9927,Very High,USA,M,12,EC,A,N,2,,3,,PB,,,6.0,Bachelors (4 years),Yes,YesValid,50.0,zero
9928,Low,USA,M,14,E,DBA,N,1,,2,,LG,,,60.0,None (no degree completed),,N,40.0,zero
9929,Mid,USA,M,15,EC,A,N,9,,1,,PB,,,25.0,None (no degree completed),,N,50.0,four
9930,Mid,New-Zealand,M,10,EC,D,Y,3,,0,,PB,,,30.0,Bachelors (4 years),Yes,YesValid,42.0,zero
9931,Mid,USA,M,10,E,DBA,N,8,,5,,PB,,,150.0,Bachelors (4 years),Yes,N,50.0,one
9932,Very Low,CzechRepublic,M,12,E,DT,N,15,,1,,PB,,,8.0,Associates (2 years),,YesValid,3.0,zero
9933,Very Low,Netherlands,M,15,E,DBA,N,5,,6,,PB,,,500.0,Bachelors (4 years),No,YesValid,60.0,two
9934,Very Low,India,M,6,E,DBA,Y,6,,0,,PB,,,157.0,Masters,Yes,YesExpired,50.0,one
9935,Very Low,South-Africa,M,4,E,DA,N,2,,2,,PB,,,4.0,Associates (2 years),Yes,YesExpired,40.0,zero
9936,Very Low,Russia,M,4,E,DA,N,4,,6,,PB,,,4.0,Bachelors (4 years),Yes,N,40.0,zero
9937,Very Low,Russia,M,4,E,DA,N,4,,6,,PB,,,4.0,Bachelors (4 years),Yes,N,40.0,zero
9938,Very Low,Poland,M,5,E,E,Y,5,,6,,PB,,,500.0,Masters,Yes,N,40.0,zero
9939,Low,South-Africa,M,17,E,DT,N,17,,1,,PB,,,4.0,Bachelors (4 years),Yes,YesValid,45.0,zero
9940,High,UK,M,8,E,DT,N,3,,6,,PB,,,2.0,Masters,Yes,YesValid,35.0,two
9941,Very Low,Austria,,2,E,D,N,2,,0,,PB,,,10.0,Associates (2 years),,YesValid,38.0,zero
9942,Low,Israel,M,20,E,DBA,N,3,,5,,PB,,,30.0,Masters,No,N,45.0,zero
9943,Very Low,Finland,M,20,E,A,Y,4,,1,,PB,,,10.0,Bachelors (4 years),Yes,YesExpired,30.0,one
9944,Very Low,UK,M,6,E,DBA,N,2,,1,,PB,,,150.0,Masters,Yes,N,45.0,zero
9945,Very Low,UK,M,6,E,DT,N,5,,6,,PB,,,500.0,Bachelors (4 years),No,N,42.0,zero
9946,Very Low,India,M,4,E,DBA,N,5,,6,,PB,,,8.0,Bachelors (4 years),Yes,N,38.0,zero
9947,Very Low,Germany,M,1,E,DBA,N,1,,3,,PB,,,73.0,Masters,Yes,N,40.0,zero
9948,Very Low,Sweden,M,10,E,DBA,N,10,,3,,PB,,,80.0,None (no degree completed),,N,40.0,three
9949,Mid,Germany,M,12,E,AN,N,17,,5,,PB,,,250.0,Masters,No,N,40.0,zero
9950,Very Low,Spain,M,1,E,D,N,1,,1,,PB,,,2.0,None (no degree completed),,N,30.0,zero
9951,Mid,Australia,M,10,EC,DBA,Y,10,,4,,FG,,,250.0,Masters,Yes,YesExpired,35.0,five
9952,Very Low,France,M,8,EC,DBA,N,5,,0,,PB,,,50.0,Associates (2 years),Yes,YesValid,38.0,zero
9953,Very Low,Ireland,M,3,EC,DBA,N,1,,2,,PB,,,100.0,Bachelors (4 years),Yes,YesValid,40.0,one
9954,Very Low,UK,M,10,E,D,N,3,,1,,SG,,,5.0,None (no degree completed),,YesValid,37.0,zero
9955,Very Low,UK,M,5,E,DBA,N,5,,6,,PB,,,400.0,Bachelors (4 years),Yes,N,38.0,one
9956,Very Low,UK,M,23,E,DBA,Y,4,,1,,PB,,,47.0,Associates (2 years),Yes,N,30.0,zero
9957,Very Low,Ireland,M,6,E,DBA,N,2,,0,,PB,,,6.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9958,Very High,USA,M,17,E,M,Y,3,,2,,PB,,,150.0,Bachelors (4 years),Yes,N,45.0,zero
9959,Very Low,UK,M,10,E,DBA,N,4,,1,,PB,,,150.0,None (no degree completed),No,N,40.0,zero
9960,Mid,Belgium,SAP,1,I,A,N,1,,6,,PB,,,2.0,Doctorate/PhD,No,N,40.0,three
9961,High,UK,M,11,E,A,N,4,,0,,PB,,,15.0,Associates (2 years),Yes,YesValid,38.0,one
9962,Mid,USA,M,15,E,A,N,2,,0,,PB,,,100.0,Bachelors (4 years),No,N,45.0,zero
9963,Very High,USA,M,12,EC,A,Y,3,,5,,PB,,,100.0,Bachelors (4 years),Yes,YesValid,50.0,two
9964,Very Low,Germany,M,5,EC,DBA,N,1,,1,,PB,,,30.0,Masters,No,N,40.0,zero
9965,Very Low,UK,M,3,E,DBA,N,2,,0,,PB,,,8.0,None (no degree completed),,N,45.0,zero
9966,Very Low,UK,M,4,E,DBA,N,4,,1,,FG,,,150.0,None (no degree completed),,N,36.0,zero
9967,Very Low,France,M,16,E,DBA,N,16,,0,,PB,,,4.0,Associates (2 years),Yes,N,42.0,zero
9968,Mid,Ireland,O,17,E,DBA,N,19,,1,,PB,,,50.0,Bachelors (4 years),Yes,YesExpired,44.0,zero
9969,Mid,UK,M,18,I,DT,N,18,,0,,PB,,,10.0,None (no degree completed),,N,35.0,zero
9970,Mid,USA,M,16,E,DT,N,10,,0,,PB,,,5.0,Bachelors (4 years),Yes,N,41.0,zero
9971,Very Low,CzechRepublic,M,4,E,A,N,1,,1,,PB,,,250.0,Masters,Yes,N,40.0,zero
9972,Mid,UK,M,12,E,DT,N,10,,1,,PB,,,2.0,Bachelors (4 years),No,N,40.0,one
9973,High,USA,O,16,E,DBA,N,16,,2,,PB,,,300.0,Associates (2 years),Yes,N,45.0,one
9974,Low,UK,M,16,E,DBA,N,8,,0,,PB,,,12.0,None (no degree completed),,YesExpired,40.0,two
9975,Very Low,India,M,8,E,DT,Y,5,,3,,PB,,,3.0,Masters,Yes,N,45.0,one
9976,Very Low,USA,M,6,E,D,N,6,,3,,SG,,,12.0,Bachelors (4 years),No,YesExpired,40.0,zero
9977,Low,USA,M,2,E,AN,N,2,,3,,PB,,,5.0,Masters,No,N,40.0,zero
9978,High,USA,M,17,E,M,Y,10,,1,,PB,,,10.0,None (no degree completed),,YesExpired,50.0,zero
9979,Very High,USA,M,3,E,DBA,N,2,,2,,FG,,,8.0,Associates (2 years),Yes,YesValid,40.0,zero
9980,Very Low,UK,M,16,E,D,Y,2,,1,,LG,,,4.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9981,Low,UK,M,11,I,D,N,6,,3,,LG,,,40.0,Masters,Yes,N,45.0,zero
9982,High,USA,M,8,E,E,N,8,,6,,PB,,,95.0,None (no degree completed),,N,40.0,five
9983,Mid,USA,M,15,E,M,Y,7,,0,,PB,,,2.0,None (no degree completed),,N,50.0,zero
9984,Very Low,UK,M,9,E,DBA,N,2,,1,,PB,,,15.0,None (no degree completed),No,YesValid,40.0,zero
9985,Very High,USA,M,20,E,M,Y,1,,0,,PB,,,600.0,Bachelors (4 years),Yes,N,40.0,zero
9986,Very Low,UK,M,7,E,DBA,N,7,,1,,FG,,,300.0,None (no degree completed),,YesValid,40.0,zero
9987,Very High,USA,M,16,E,A,N,10,,0,,PB,,,3.0,Bachelors (4 years),Yes,N,55.0,two
9988,Low,USA,M,7,E,DT,N,7,,2,,PB,,,6.0,Bachelors (4 years),No,N,40.0,one
9989,Very High,USA,M,20,E,DT,Y,10,,1,,PB,,,4.0,Bachelors (4 years),No,N,40.0,zero
9990,Very High,USA,M,10,E,A,N,5,,0,,PB,,,20.0,Bachelors (4 years),Yes,YesExpired,45.0,two
9991,High,USA,M,5,E,DBA,N,5,,0,,PB,,,6.0,Masters,Yes,N,45.0,five
9992,Very Low,UK,M,1,E,D,N,1,,2,,PB,,,3.0,Bachelors (4 years),No,N,8.0,zero
9993,Low,UK,M,10,E,M,Y,5,,3,,PB,,,4.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
9994,Very Low,Poland,M,10,E,A,N,10,,0,,PB,,,10.0,Masters,Yes,YesValid,40.0,one
9995,High,USA,M,16,E,DT,N,3,,5,,PB,,,10.0,Bachelors (4 years),Yes,YesValid,50.0,five
9996,Very High,USA,M,20,I,A,N,6,,1,,PB,,,3.0,Bachelors (4 years),Yes,N,40.0,one
9997,High,USA,M,10,E,E,N,4,,2,,PB,,,2.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9998,Very Low,USA,M,3,E,,Y,12,,2,,PB,,,5.0,Associates (2 years),No,N,50.0,zero
9999,High,USA,M,6,EC,DT,N,6,,2,,PB,,,20.0,Bachelors (4 years),Yes,N,40.0,zero
10000,Low,USA,M,15,E,DA,N,2,,0,,SG,,,3.0,Bachelors (4 years),Yes,N,40.0,zero
10001,Mid,USA,M,17,E,DBA,N,12,,6,,PB,,,150.0,Associates (2 years),,YesExpired,40.0,zero
10002,Very High,USA,M,16,EC,A,N,3,,4,,PB,,,20.0,Bachelors (4 years),Yes,YesExpired,50.0,three
10003,Mid,USA,M,5,E,DBA,N,2,,2,,PB,,,75.0,Bachelors (4 years),Yes,N,40.0,one
